Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Andrew Wiggins,24,$25467250,$27270000,$29290000,$31310000,$33330000,,1st Round Pick,$146667250
Jeff Teague,31,$19000000,$19000000,,,,,Cap space,$38000000
Gorgui Dieng,29,$15170787,$16229213,$17287640,,,,1st Round Pick,$48687640
Taj Gibson,34,$14000000,,,,,,Cap space,$14000000
Robert Covington,28,$10464092,$11301219,$12138345,$12975471,,,Cap Space,$46879127
Jerryd Bayless,30,$8575916,,,,,,Cap Space,$8575916
Karl-Anthony Towns,23,$7839435,$27250000,$29430000,$31610000,$33790000,$35970000,1st round pick,$163709435
Anthony Tolliver,34,$5750000,,,,,,MLE,$5750000
Dario Saric,25,$2526840,$3481986,,,,,1st Round pick,$6008826
Tyus Jones,23,$2444053,,,,,,1st Round pick,$2444053
Luol Deng,34,$2393887,,,,,,,$2393887
Derrick Rose,30,$2176260,,,,,,Minimum Salary,$2176260
Josh Okogie,20,$2160720,$2530680,$2651040,$4087904,,,1st Round Pick,$4691400
Keita Bates-Diop,23,$838464,$1416852,$1663861,,,,MLE,$2255316
Cameron Reynolds,24,$108953,,,,,,,$108953
C.J. Williams,29, ,,,,,,Two-Way Contract, 
Mitch Creek,27,,,,,,,,
Jared Terrell,24, ,,,,,,Two-Way Contract, 
Kevin Martin,36,$1360304,,,,,,,$1360304
Cole Aldrich,30,$685341,$685340,$685340,,,,,$2056021
James Nunnally,28,$655632,,,,,,,$655632
Isaiah Canaan,28,$198580,,,,,,,$198580
Cameron Reynolds,24,$94742,,,,,,,$94742
Mitch Creek,27,$47371,,,,,,,$47371
Team Totals,,$121958627,$109165290,$93146226,$79983375,$67120000,35970000,,$496760713
