Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Kyle Lowry,33,$31200000,$33296296,,,,,Bird Rights,$64496296
Marc Gasol,34,$24119025,$25595700,,,,,Bird Rights,$24119025
Kawhi Leonard,27,$23114067,$21329752,,,,,Bird Rights,$23114067
Serge Ibaka,29,$21666667,$23271604,,,,,Cap space,$44938271
Danny Green,32,$10000000,,,,,,Bird Rights,$10000000
Norman Powell,26,$9367200,$10116576,$10865952,$11615328,,,Cap Space,$30349728
Fred VanVleet,25,$8653847,$9000000,,,,,Bird Rights,$17653847
OG Anunoby,21,$1952760,$2281800,$3872215,,,,1st Round Pick,$4234560
Pascal Siakam,25,$1544951,$2351839,,,,,1st Round pick,$3896790
Patrick McCaw,23,$786000,,,,,,,$786000
Jeremy Lin,30,$697000,,,,,,,$697000
Malcolm Miller,26,$457418,$1588231,,,,,,$457418
Chris Boucher,26,$457418,$1588231,,,,,,$457418
Jodie Meeks,31,$196724,,,,,,,$196724
Jordan Loyd,25, ,,,,,,Two-Way Contract, 
Eric Moreland,27,,,,,,,,
Justin Hamilton,29,$1000000,$1000000,,,,,,$2000000
Lorenzo Brown,28,$800000,,,,,,,$800000
Jodie Meeks,31,$122953,,,,,,,$122953
Eric Moreland,27,$88531,,,,,,,$88531
Team Totals,,$136224561,$131420029,$14738167,$11615328,,,,$228408628
