Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Danilo Gallinari,30,$21587579,$22615559,,,,,Sign and Trade,$44203138
Wilson Chandler,32,$12800562,,,,,,,$12800562
Garrett Temple,33,$8000000,,,,,,Cap Space,$8000000
Lou Williams,32,$8000000,$8000000,$1500000,,,,Cap Space,$16000000
JaMychal Green,29,$7866667,,,,,,Bird Rights,$7866667
Montrezl Harrell,25,$6000000,$6000000,,,,,,$12000000
Patrick Beverley,30,$5027028,,,,,,Bird Rights,$5027028
Shai Gilgeous-Alexander,20,$3375360,$3952920,$4141320,$5495532,,,1st Round Pick,$7328280
Jerome Robinson,22,$3046200,$3567720,$3737520,$5340916,,,1st Round Pick,$6613920
Landry Shamet,22,$1703640,$1995120,$2090040,$3768342,,,1st Round Pick,$3698760
Rodney McGruder,27,$1544951,,,,,,Minimum Salary,$1544951
Ivica Zubac,22,$1544951,,,,,,Cap Space,$1544951
Sindarius Thornwell,24,$1378242,$1618520,,,,,MLE,$1378242
Tyrone Wallace,25,$1349383,$1588231,,,,,Minimum Salary,$1349383
Angel Delgado,24, ,,,,,,Two-Way Contract, 
Johnathan Motley,24, ,,,,,,Two-Way Contract, 
Marcin Gortat,35,$13565218,,,,,,,$13565218
Milos Teodosic,32,$6300000,,,,,,,$6300000
Alexis Ajinca,31,$5285394,,,,,,,$5285394
Luc Mbah a Moute,32,$4320500,,,,,,,$4320500
Michael Beasley,30,$3500000,,,,,,,$3500000
Jawun Evans,22,$1378242,,,,,,,$1378242
Carlos Delfino,36,$650000,,,,,,,$650000
Miroslav Raduljica,31,$252043,,,,,,,$252043
Justin Bibbs,23,$94742,,,,,,,$94742
Team Totals,,$118570702,$49338070,$11468880,$14604790,,,,$164702021
